
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza
Unidades: Número de estudiantes

,Total,,,,,Ciencias Sociales y Jurídicas,,,,,Ingeniería y Arquitectura,,,,,Artes y Humanidades,,,,,Ciencias de la Salud,,,,,Ciencias,,,,,
,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,
Todas las universidades,
    Total,
            Total,61788.0,66733.0,71626.0,72340.0,74452.0,34128.0,36948.0,39970.0,39776.0,40970.0,7059.0,8220.0,9059.0,9479.0,9887.0,8076.0,8361.0,8533.0,8962.0,9019.0,8833.0,9231.0,9790.0,9765.0,9987.0,3692.0,3973.0,4274.0,4358.0,4589.0,
            Tiempo Completo,40054.0,42952.0,45963.0,44587.0,45560.0,22555.0,24230.0,26573.0,24813.0,25636.0,4352.0,4838.0,5111.0,5244.0,5379.0,4496.0,4628.0,4709.0,5074.0,4901.0,5925.0,6314.0,6540.0,6378.0,6432.0,2726.0,2942.0,3030.0,3078.0,3212.0,
            Tiempo Parcial,21734.0,23781.0,25663.0,27753.0,28892.0,11573.0,12718.0,13397.0,14963.0,15334.0,2707.0,3382.0,3948.0,4235.0,4508.0,3580.0,3733.0,3824.0,3888.0,4118.0,2908.0,2917.0,3250.0,3387.0,3555.0,966.0,1031.0,1244.0,1280.0,1377.0,
    Centro propio,
        Ambos sexos,
            Total,94920.0,100942.0,107418.0,110596.0,113547.0,45546.0,46985.0,49778.0,50993.0,51556.0,22464.0,26363.0,28772.0,30036.0,31360.0,10545.0,10774.0,10730.0,11246.0,11362.0,10370.0,10542.0,11356.0,11274.0,11690.0,5995.0,6278.0,6782.0,7047.0,7579.0,
            Tiempo Completo,59551.0,62285.0,65337.0,64944.0,66758.0,29404.0,30106.0,31996.0,30957.0,31742.0,13457.0,14983.0,15543.0,15913.0,16459.0,5695.0,5772.0,5748.0,6186.0,6083.0,6664.0,6880.0,7261.0,6941.0,7195.0,4331.0,4544.0,4789.0,4947.0,5279.0,
            Tiempo Parcial,35369.0,38657.0,42081.0,45652.0,46789.0,16142.0,16879.0,17782.0,20036.0,19814.0,9007.0,11380.0,13229.0,14123.0,14901.0,4850.0,5002.0,4982.0,5060.0,5279.0,3706.0,3662.0,4095.0,4333.0,4495.0,1664.0,1734.0,1993.0,2100.0,2300.0,
        Hombres,
            Total,44440.0,47667.0,50919.0,52895.0,53819.0,18281.0,18737.0,19743.0,20504.0,20306.0,16132.0,18846.0,20474.0,21291.0,22101.0,3965.0,4043.0,4009.0,4238.0,4171.0,3030.0,2919.0,3315.0,3307.0,3456.0,3032.0,3122.0,3378.0,3555.0,3785.0,
            Tiempo Completo,27255.0,28823.0,30035.0,30226.0,30741.0,11456.0,11999.0,12514.0,12383.0,12446.0,9558.0,10591.0,10903.0,11099.0,11429.0,2125.0,2140.0,2086.0,2305.0,2144.0,1978.0,1893.0,2163.0,1989.0,2112.0,2138.0,2200.0,2369.0,2450.0,2610.0,
            Tiempo Parcial,17185.0,18844.0,20884.0,22669.0,23078.0,6825.0,6738.0,7229.0,8121.0,7860.0,6574.0,8255.0,9571.0,10192.0,10672.0,1840.0,1903.0,1923.0,1933.0,2027.0,1052.0,1026.0,1152.0,1318.0,1344.0,894.0,922.0,1009.0,1105.0,1175.0,
        Mujeres,
            Total,50480.0,53275.0,56499.0,57701.0,59728.0,27265.0,28248.0,30035.0,30489.0,31250.0,6332.0,7517.0,8298.0,8745.0,9259.0,6580.0,6731.0,6721.0,7008.0,7191.0,7340.0,7623.0,8041.0,7967.0,8234.0,2963.0,3156.0,3404.0,3492.0,3794.0,
