
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza
Unidades: Número de estudiantes

,Total,,,,,Ciencias Sociales y Jurídicas,,,,,Ingeniería y Arquitectura,,,,,Artes y Humanidades,,,,,Ciencias de la Salud,,,,,Ciencias,,,,,
,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,
Todas las universidades,
    Total,
            Tiempo Parcial,99.0,145.0,150.0,144.0,119.0,63.0,92.0,105.0,95.0,81.0,18.0,10.0,6.0,6.0,1.0,7.0,14.0,9.0,8.0,7.0,11.0,29.0,30.0,30.0,28.0,0.0,0.0,0.0,5.0,2.0,
        Mujeres,
            Total,1178.0,1084.0,1025.0,1223.0,1183.0,719.0,656.0,637.0,740.0,691.0,12.0,7.0,8.0,8.0,3.0,65.0,70.0,46.0,39.0,87.0,382.0,351.0,324.0,424.0,389.0,0.0,0.0,10.0,12.0,13.0,
            Tiempo Completo,1044.0,870.0,832.0,975.0,935.0,659.0,564.0,534.0,624.0,563.0,0.0,3.0,0.0,0.0,0.0,58.0,50.0,29.0,24.0,80.0,327.0,253.0,260.0,322.0,282.0,0.0,0.0,9.0,5.0,10.0,
            Tiempo Parcial,134.0,214.0,193.0,248.0,248.0,60.0,92.0,103.0,116.0,128.0,12.0,4.0,8.0,8.0,3.0,7.0,20.0,17.0,15.0,7.0,55.0,98.0,64.0,102.0,107.0,0.0,0.0,1.0,7.0,3.0,
    Centro adscrito,
        Ambos sexos,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
        Hombres,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
        Mujeres,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
    Otras unidades,
        Ambos sexos,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
        Hombres,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
        Mujeres,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Católica San Antonio,
    Total,
        Ambos sexos,
            Total,3156.0,2941.0,2505.0,2487.0,2894.0,1310.0,1491.0,1611.0,1636.0,1831.0,62.0,54.0,58.0,72.0,74.0,0.0,42.0,28.0,37.0,3.0,1784.0,1354.0,808.0,742.0,986.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,1679.0,1802.0,1719.0,1658.0,2008.0,1050.0,1129.0,1170.0,1212.0,1491.0,32.0,30.0,28.0,25.0,43.0,0.0,41.0,22.0,34.0,1.0,597.0,602.0,499.0,387.0,473.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,1477.0,1139.0,786.0,829.0,886.0,260.0,362.0,441.0,424.0,340.0,30.0,24.0,30.0,47.0,31.0,0.0,1.0,6.0,3.0,2.0,1187.0,752.0,309.0,355.0,513.0,0.0,0.0,0.0,0.0,0.0,
        Hombres,
            Total,1555.0,1378.0,1190.0,1152.0,1321.0,616.0,744.0,796.0,767.0,815.0,48.0,44.0,45.0,59.0,64.0,0.0,20.0,12.0,14.0,2.0,891.0,570.0,337.0,312.0,440.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,726.0,853.0,827.0,745.0,901.0,490.0,581.0,590.0,560.0,664.0,24.0,24.0,22.0,19.0,37.0,0.0,19.0,9.0,11.0,0.0,212.0,229.0,206.0,155.0,200.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,829.0,525.0,363.0,407.0,420.0,126.0,163.0,206.0,207.0,151.0,24.0,20.0,23.0,40.0,27.0,0.0,1.0,3.0,3.0,2.0,679.0,341.0,131.0,157.0,240.0,0.0,0.0,0.0,0.0,0.0,
        Mujeres,
            Total,1601.0,1563.0,1315.0,1335.0,1573.0,694.0,747.0,815.0,869.0,1016.0,14.0,10.0,13.0,13.0,10.0,0.0,22.0,16.0,23.0,1.0,893.0,784.0,471.0,430.0,546.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,953.0,949.0,892.0,913.0,1107.0,560.0,548.0,580.0,652.0,827.0,8.0,6.0,6.0,6.0,6.0,0.0,22.0,13.0,23.0,1.0,385.0,373.0,293.0,232.0,273.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,648.0,614.0,423.0,422.0,466.0,134.0,199.0,235.0,217.0,189.0,6.0,4.0,7.0,7.0,4.0,0.0,0.0,3.0,0.0,0.0,508.0,411.0,178.0,198.0,273.0,0.0,0.0,0.0,0.0,0.0,
    Centro propio,
        Ambos sexos,
            Total,3156.0,2941.0,2505.0,2487.0,2894.0,1310.0,1491.0,1611.0,1636.0,1831.0,62.0,54.0,58.0,72.0,74.0,0.0,42.0,28.0,37.0,3.0,1784.0,1354.0,808.0,742.0,986.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,1679.0,1802.0,1719.0,1658.0,2008.0,1050.0,1129.0,1170.0,1212.0,1491.0,32.0,30.0,28.0,25.0,43.0,0.0,41.0,22.0,34.0,1.0,597.0,602.0,499.0,387.0,473.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,1477.0,1139.0,786.0,829.0,886.0,260.0,362.0,441.0,424.0,340.0,30.0,24.0,30.0,47.0,31.0,0.0,1.0,6.0,3.0,2.0,1187.0,752.0,309.0,355.0,513.0,0.0,0.0,0.0,0.0,0.0,
        Hombres,
            Total,1555.0,1378.0,1190.0,1152.0,1321.0,616.0,744.0,796.0,767.0,815.0,48.0,44.0,45.0,59.0,64.0,0.0,20.0,12.0,14.0,2.0,891.0,570.0,337.0,312.0,440.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,726.0,853.0,827.0,745.0,901.0,490.0,581.0,590.0,560.0,664.0,24.0,24.0,22.0,19.0,37.0,0.0,19.0,9.0,11.0,0.0,212.0,229.0,206.0,155.0,200.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,829.0,525.0,363.0,407.0,420.0,126.0,163.0,206.0,207.0,151.0,24.0,20.0,23.0,40.0,27.0,0.0,1.0,3.0,3.0,2.0,679.0,341.0,131.0,157.0,240.0,0.0,0.0,0.0,0.0,0.0,
        Mujeres,
            Total,1601.0,1563.0,1315.0,1335.0,1573.0,694.0,747.0,815.0,869.0,1016.0,14.0,10.0,13.0,13.0,10.0,0.0,22.0,16.0,23.0,1.0,893.0,784.0,471.0,430.0,546.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,953.0,949.0,892.0,913.0,1107.0,560.0,548.0,580.0,652.0,827.0,8.0,6.0,6.0,6.0,6.0,0.0,22.0,13.0,23.0,1.0,385.0,373.0,293.0,232.0,273.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,648.0,614.0,423.0,422.0,466.0,134.0,199.0,235.0,217.0,189.0,6.0,4.0,7.0,7.0,4.0,0.0,0.0,3.0,0.0,0.0,508.0,411.0,178.0,198.0,273.0,0.0,0.0,0.0,0.0,0.0,
    Centro adscrito,
        Ambos sexos,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
        Hombres,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
        Mujeres,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
    Otras unidades,
        Ambos sexos,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
        Hombres,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
        Mujeres,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Católica Santa Teresa de Jesús de Ávila,
    Total,
        Ambos sexos,
            Total,275.0,300.0,407.0,452.0,488.0,135.0,165.0,256.0,284.0,286.0,109.0,103.0,116.0,137.0,170.0,11.0,14.0,23.0,27.0,25.0,0.0,5.0,5.0,1.0,1.0,20.0,13.0,7.0,3.0,6.0,
            Tiempo Completo,122.0,155.0,238.0,248.0,240.0,88.0,118.0,205.0,192.0,187.0,26.0,21.0,20.0,36.0,38.0,4.0,7.0,9.0,20.0,13.0,0.0,5.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,2.0,
            Tiempo Parcial,153.0,145.0,169.0,204.0,248.0,47.0,47.0,51.0,92.0,99.0,83.0,82.0,96.0,101.0,132.0,7.0,7.0,14.0,7.0,12.0,0.0,0.0,5.0,1.0,1.0,16.0,9.0,3.0,3.0,4.0,
        Hombres,
            Total,153.0,167.0,221.0,234.0,245.0,61.0,86.0,134.0,140.0,144.0,76.0,70.0,76.0,85.0,93.0,6.0,4.0,7.0,8.0,5.0,0.0,1.0,1.0,0.0,0.0,10.0,6.0,3.0,1.0,3.0,
            Tiempo Completo,60.0,85.0,119.0,123.0,114.0,38.0,67.0,104.0,93.0,92.0,18.0,15.0,12.0,24.0,20.0,2.0,1.0,1.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,
            Tiempo Parcial,93.0,82.0,102.0,111.0,131.0,23.0,19.0,30.0,47.0,52.0,58.0,55.0,64.0,61.0,73.0,4.0,3.0,6.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,8.0,5.0,1.0,1.0,2.0,
        Mujeres,
            Total,122.0,133.0,186.0,218.0,243.0,74.0,79.0,122.0,144.0,142.0,33.0,33.0,40.0,52.0,77.0,5.0,10.0,16.0,19.0,20.0,0.0,4.0,4.0,1.0,1.0,10.0,7.0,4.0,2.0,3.0,
            Tiempo Completo,62.0,70.0,119.0,125.0,126.0,50.0,51.0,101.0,99.0,95.0,8.0,6.0,8.0,12.0,18.0,2.0,6.0,8.0,14.0,12.0,0.0,4.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,
            Tiempo Parcial,60.0,63.0,67.0,93.0,117.0,24.0,28.0,21.0,45.0,47.0,25.0,27.0,32.0,40.0,59.0,3.0,4.0,8.0,5.0,8.0,0.0,0.0,4.0,1.0,1.0,8.0,4.0,2.0,2.0,2.0,
    Centro propio,
        Ambos sexos,
            Total,275.0,300.0,407.0,452.0,488.0,135.0,165.0,256.0,284.0,286.0,109.0,103.0,116.0,137.0,170.0,11.0,14.0,23.0,27.0,25.0,0.0,5.0,5.0,1.0,1.0,20.0,13.0,7.0,3.0,6.0,
            Tiempo Completo,122.0,155.0,238.0,248.0,240.0,88.0,118.0,205.0,192.0,187.0,26.0,21.0,20.0,36.0,38.0,4.0,7.0,9.0,20.0,13.0,0.0,5.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,2.0,
            Tiempo Parcial,153.0,145.0,169.0,204.0,248.0,47.0,47.0,51.0,92.0,99.0,83.0,82.0,96.0,101.0,132.0,7.0,7.0,14.0,7.0,12.0,0.0,0.0,5.0,1.0,1.0,16.0,9.0,3.0,3.0,4.0,
        Hombres,
            Total,153.0,167.0,221.0,234.0,245.0,61.0,86.0,134.0,140.0,144.0,76.0,70.0,76.0,85.0,93.0,6.0,4.0,7.0,8.0,5.0,0.0,1.0,1.0,0.0,0.0,10.0,6.0,3.0,1.0,3.0,
            Tiempo Completo,60.0,85.0,119.0,123.0,114.0,38.0,67.0,104.0,93.0,92.0,18.0,15.0,12.0,24.0,20.0,2.0,1.0,1.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,
            Tiempo Parcial,93.0,82.0,102.0,111.0,131.0,23.0,19.0,30.0,47.0,52.0,58.0,55.0,64.0,61.0,73.0,4.0,3.0,6.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,8.0,5.0,1.0,1.0,2.0,
        Mujeres,
            Total,122.0,133.0,186.0,218.0,243.0,74.0,79.0,122.0,144.0,142.0,33.0,33.0,40.0,52.0,77.0,5.0,10.0,16.0,19.0,20.0,0.0,4.0,4.0,1.0,1.0,10.0,7.0,4.0,2.0,3.0,
            Tiempo Completo,62.0,70.0,119.0,125.0,126.0,50.0,51.0,101.0,99.0,95.0,8.0,6.0,8.0,12.0,18.0,2.0,6.0,8.0,14.0,12.0,0.0,4.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,
            Tiempo Parcial,60.0,63.0,67.0,93.0,117.0,24.0,28.0,21.0,45.0,47.0,25.0,27.0,32.0,40.0,59.0,3.0,4.0,8.0,5.0,8.0,0.0,0.0,4.0,1.0,1.0,8.0,4.0,2.0,2.0,2.0,
    Centro adscrito,
        Ambos sexos,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
        Hombres,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
        Mujeres,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
    Otras unidades,
        Ambos sexos,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
        Hombres,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
        Mujeres,
            Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Deusto,
    Total,
        Ambos sexos,
            Total,1506.0,1468.0,1440.0,1340.0,1342.0,1062.0,1041.0,1017.0,935.0,911.0,194.0,166.0,170.0,182.0,174.0,79.0,64.0,41.0,26.0,23.0,171.0,197.0,212.0,197.0,234.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,971.0,918.0,921.0,850.0,817.0,707.0,666.0,650.0,601.0,572.0,114.0,82.0,102.0,107.0,102.0,69.0,56.0,34.0,13.0,12.0,81.0,114.0,135.0,129.0,131.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,535.0,550.0,519.0,490.0,525.0,355.0,375.0,367.0,334.0,339.0,80.0,84.0,68.0,75.0,72.0,10.0,8.0,7.0,13.0,11.0,90.0,83.0,77.0,68.0,103.0,0.0,0.0,0.0,0.0,0.0,
        Hombres,
            Total,579.0,573.0,561.0,525.0,514.0,386.0,404.0,389.0,349.0,354.0,149.0,124.0,132.0,141.0,125.0,18.0,17.0,14.0,17.0,13.0,26.0,28.0,26.0,18.0,22.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Completo,364.0,331.0,329.0,307.0,309.0,247.0,245.0,223.0,211.0,214.0,87.0,58.0,80.0,78.0,75.0,15.0,13.0,13.0,8.0,8.0,15.0,15.0,13.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,
            Tiempo Parcial,215.0,242.0,232.0,218.0,205.0,139.0,159.0,166.0,138.0,140.0,62.0,66.0,52.0,63.0,50.0,3.0,4.0,1.0,9.0,5.0,11.0,13.0,13.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,
        Mujeres,
            Total,927.0,895.0,879.0,815.0,828.0,676.0,637.0,628.0,586.0,557.0,45.0,42.0,38.0,41.0,49.0,61.0,47.0,27.0,9.0,10.0,145.0,169.0,186.0,179.0,212.0,0.0,0.0,0.0,0.0,0.0,
