Universidad,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,Curso,Tipo_centro,Sexo,Dedicacion,Nivel
Católica de Valencia San Vicente Mártir,0.0,0.0,0.0,0.0,0.0,2017-2018,Otras unidades,Mujeres,Tiempo Completo,master
Católica San Antonio,0.0,0.0,0.0,0.0,0.0,2017-2018,Otras unidades,Mujeres,Tiempo Completo,master
Católica Santa Teresa de Jesús de Ávila,0.0,0.0,0.0,0.0,0.0,2017-2018,Otras unidades,Mujeres,Tiempo Completo,master
Deusto,0.0,0.0,0.0,0.0,0.0,2017-2018,Otras unidades,Mujeres,Tiempo Completo,master
Europea de Canarias,0.0,0.0,0.0,0.0,0.0,2017-2018,Otras unidades,Mujeres,Tiempo Completo,master
Europea de Madrid,0.0,0.0,0.0,0.0,0.0,2017-2018,Otras unidades,Mujeres,Tiempo Completo,master
Europea de Valencia,0.0,0.0,0.0,0.0,0.0,2017-2018,Otras unidades,Mujeres,Tiempo Completo,master
Europea del Atlántico,0.0,0.0,0.0,0.0,0.0,2017-2018,Otras unidades,Mujeres,Tiempo Completo,master
Europea Miguel de Cervantes,0.0,0.0,0.0,0.0,0.0,2017-2018,Otras unidades,Mujeres,Tiempo Completo,master
Fernando Pessoa-Canarias (UFP-C),0.0,0.0,0.0,0.0,0.0,2017-2018,Otras unidades,Mujeres,Tiempo Completo,master
Francisco de Vitoria,0.0,0.0,0.0,0.0,0.0,2017-2018,Otras unidades,Mujeres,Tiempo Completo,master
IE Universidad,9.0,0.0,0.0,0.0,0.0,2017-2018,Otras unidades,Mujeres,Tiempo Completo,master
Internacional de Catalunya,0.0,0.0,0.0,0.0,0.0,2017-2018,Otras unidades,Mujeres,Tiempo Completo,master
Loyola Andalucía,0.0,0.0,0.0,0.0,0.0,2017-2018,Otras unidades,Mujeres,Tiempo Completo,master
Mondragón Unibertsitatea,0.0,0.0,0.0,0.0,0.0,2017-2018,Otras unidades,Mujeres,Tiempo Completo,master
Navarra,295.0,0.0,0.0,0.0,0.0,2017-2018,Otras unidades,Mujeres,Tiempo Completo,master
Ramón Llull,0.0,0.0,0.0,0.0,0.0,2017-2018,Otras unidades,Mujeres,Tiempo Completo,master
San Pablo-CEU,24.0,0.0,0.0,0.0,0.0,2017-2018,Otras unidades,Mujeres,Tiempo Completo,master
Vic-Central de Catalunya,0.0,0.0,0.0,0.0,0.0,2017-2018,Otras unidades,Mujeres,Tiempo Completo,master
A Distancia de Madrid,0.0,0.0,0.0,0.0,0.0,2017-2018,Otras unidades,Mujeres,Tiempo Completo,master
Internacional de La Rioja,0.0,0.0,0.0,0.0,0.0,2017-2018,Otras unidades,Mujeres,Tiempo Completo,master
Internacional Isabel I de Castilla,0.0,0.0,0.0,0.0,0.0,2017-2018,Otras unidades,Mujeres,Tiempo Completo,master
Internacional Valenciana,0.0,0.0,0.0,0.0,0.0,2017-2018,Otras unidades,Mujeres,Tiempo Completo,master
Oberta de Catalunya,0.0,0.0,0.0,0.0,0.0,2017-2018,Otras unidades,Mujeres,Tiempo Completo,master
A Coruña,172.0,193.0,15.0,9.0,39.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Alcalá,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Alicante,304.0,106.0,54.0,11.0,30.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Almería,203.0,71.0,13.0,49.0,19.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Autónoma de Barcelona,405.0,78.0,121.0,98.0,181.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Autónoma de Madrid,309.0,25.0,96.0,56.0,229.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Barcelona,541.0,68.0,157.0,209.0,333.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Burgos,75.0,46.0,3.0,3.0,15.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Cádiz,183.0,202.0,26.0,32.0,58.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Cantabria,91.0,183.0,25.0,14.0,10.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Carlos III de Madrid,463.0,518.0,18.0,0.0,5.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Castilla-La Mancha,362.0,118.0,32.0,16.0,22.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Complutense de Madrid,939.0,89.0,257.0,172.0,273.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Córdoba,216.0,170.0,44.0,28.0,32.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Extremadura,304.0,59.0,17.0,16.0,15.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Girona,111.0,112.0,17.0,18.0,25.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Granada,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Huelva,160.0,46.0,13.0,30.0,16.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Illes Balears (Les),166.0,13.0,21.0,16.0,72.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Jaén,9.0,69.0,0.0,5.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Jaume I de Castellón,150.0,66.0,44.0,35.0,23.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
La Laguna,167.0,38.0,17.0,34.0,38.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
La Rioja,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Las Palmas de Gran Canaria,168.0,71.0,26.0,9.0,14.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
León,167.0,95.0,2.0,64.0,8.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Lleida,81.0,76.0,13.0,29.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Málaga,440.0,179.0,52.0,40.0,45.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Miguel Hernández de Elche,280.0,91.0,8.0,228.0,17.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Murcia,338.0,19.0,66.0,80.0,45.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Oviedo,106.0,231.0,6.0,12.0,11.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Pablo de Olavide,244.0,4.0,53.0,23.0,64.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
País Vasco/Euskal Herriko Unibertsitatea,143.0,338.0,0.0,6.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Politécnica de Cartagena,29.0,197.0,0.0,0.0,3.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Politécnica de Catalunya,45.0,1652.0,0.0,0.0,35.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Politécnica de Madrid,67.0,2224.0,1.0,23.0,22.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Politècnica de València,58.0,1253.0,52.0,23.0,37.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Pompeu Fabra,162.0,46.0,40.0,64.0,14.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Pública de Navarra,98.0,186.0,0.0,7.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Rey Juan Carlos,1332.0,150.0,94.0,146.0,20.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Rovira i Virgili,170.0,95.0,32.0,16.0,57.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Salamanca,307.0,54.0,93.0,44.0,58.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Santiago de Compostela,246.0,74.0,61.0,64.0,65.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
València (Estudi General),552.0,85.0,108.0,154.0,129.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Vigo,236.0,281.0,45.0,4.0,36.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Zaragoza,331.0,242.0,35.0,60.0,76.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Internacional Menéndez Pelayo,297.0,26.0,26.0,17.0,37.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Abat Oliba CEU,86.0,0.0,0.0,5.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Alfonso X El Sabio,184.0,54.0,27.0,42.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Antonio de Nebrija,859.0,21.0,37.0,0.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Atlántico Medio,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Camilo José Cela,385.0,0.0,0.0,65.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Cardenal Herrera-CEU,199.0,24.0,0.0,46.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Católica de Valencia San Vicente Mártir,429.0,0.0,28.0,104.0,5.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Católica San Antonio,590.0,22.0,9.0,206.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Católica Santa Teresa de Jesús de Ávila,104.0,12.0,1.0,0.0,2.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Deusto,223.0,80.0,13.0,13.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Europea de Canarias,7.0,51.0,0.0,32.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Europea de Madrid,571.0,386.0,1.0,203.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Europea de Valencia,70.0,0.0,0.0,10.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Europea del Atlántico,120.0,56.0,19.0,0.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Europea Miguel de Cervantes,74.0,87.0,0.0,0.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Fernando Pessoa-Canarias (UFP-C),0.0,0.0,0.0,3.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Francisco de Vitoria,770.0,0.0,0.0,11.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
IE Universidad,95.0,0.0,0.0,0.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Internacional de Catalunya,17.0,12.0,0.0,38.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Loyola Andalucía,64.0,5.0,0.0,0.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Mondragón Unibertsitatea,50.0,192.0,0.0,0.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Navarra,88.0,81.0,121.0,18.0,7.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Ramón Llull,832.0,190.0,1.0,24.0,39.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
San Pablo-CEU,121.0,4.0,23.0,83.0,5.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Vic-Central de Catalunya,36.0,9.0,3.0,17.0,11.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
A Distancia de Madrid,699.0,23.0,5.0,24.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Internacional de La Rioja,2613.0,483.0,111.0,83.0,58.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Internacional Isabel I de Castilla,507.0,0.0,0.0,0.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Internacional Valenciana,1271.0,0.0,121.0,41.0,30.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
Oberta de Catalunya,525.0,103.0,28.0,42.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,master
A Coruña,205.0,276.0,8.0,15.0,35.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Alcalá,0.0,59.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Alicante,324.0,100.0,56.0,15.0,38.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Almería,269.0,70.0,25.0,37.0,23.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Autónoma de Barcelona,425.0,51.0,101.0,81.0,165.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Autónoma de Madrid,321.0,95.0,109.0,62.0,218.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Barcelona,521.0,61.0,156.0,144.0,271.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Burgos,91.0,37.0,6.0,4.0,15.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Cádiz,190.0,174.0,33.0,38.0,83.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Cantabria,103.0,177.0,12.0,17.0,28.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Carlos III de Madrid,507.0,534.0,35.0,0.0,22.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Castilla-La Mancha,380.0,135.0,33.0,29.0,26.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Complutense de Madrid,860.0,79.0,243.0,123.0,300.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Córdoba,234.0,147.0,69.0,49.0,56.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Extremadura,316.0,94.0,33.0,35.0,17.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Girona,135.0,86.0,18.0,10.0,32.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Granada,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Huelva,210.0,52.0,28.0,30.0,19.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Illes Balears (Les),175.0,32.0,12.0,19.0,65.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Jaén,31.0,65.0,0.0,6.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Jaume I de Castellón,134.0,64.0,46.0,35.0,30.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
La Laguna,182.0,51.0,23.0,35.0,24.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
La Rioja,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Las Palmas de Gran Canaria,166.0,66.0,37.0,3.0,15.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
León,164.0,61.0,6.0,29.0,6.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Lleida,100.0,77.0,6.0,39.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Málaga,527.0,255.0,69.0,46.0,56.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Miguel Hernández de Elche,288.0,113.0,4.0,277.0,9.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Murcia,371.0,25.0,56.0,84.0,47.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Oviedo,116.0,208.0,8.0,9.0,25.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Pablo de Olavide,296.0,13.0,68.0,23.0,59.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
País Vasco/Euskal Herriko Unibertsitatea,323.0,535.0,50.0,63.0,100.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Politécnica de Cartagena,29.0,187.0,0.0,0.0,1.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Politécnica de Catalunya,57.0,1661.0,0.0,0.0,53.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Politécnica de Madrid,76.0,2152.0,1.0,8.0,34.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Politècnica de València,57.0,1468.0,59.0,35.0,57.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Pompeu Fabra,164.0,43.0,41.0,77.0,24.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Pública de Navarra,104.0,165.0,0.0,14.0,3.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Rey Juan Carlos,496.0,104.0,52.0,90.0,24.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Rovira i Virgili,187.0,130.0,27.0,25.0,38.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Salamanca,317.0,54.0,93.0,41.0,70.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Santiago de Compostela,231.0,75.0,42.0,34.0,77.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
València (Estudi General),613.0,72.0,105.0,152.0,146.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Vigo,276.0,216.0,46.0,14.0,33.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Zaragoza,345.0,242.0,40.0,64.0,62.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Internacional Menéndez Pelayo,257.0,27.0,0.0,0.0,41.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Abat Oliba CEU,118.0,0.0,0.0,1.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Alfonso X El Sabio,211.0,50.0,22.0,50.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Antonio de Nebrija,930.0,44.0,28.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Atlántico Medio,336.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Camilo José Cela,489.0,0.0,0.0,76.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Cardenal Herrera-CEU,157.0,49.0,6.0,62.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Católica de Valencia San Vicente Mártir,371.0,0.0,20.0,137.0,9.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Católica San Antonio,664.0,37.0,0.0,200.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Católica Santa Teresa de Jesús de Ávila,92.0,20.0,1.0,0.0,1.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Deusto,214.0,75.0,8.0,12.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Europea de Canarias,47.0,78.0,0.0,26.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Europea de Madrid,661.0,394.0,0.0,232.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Europea de Valencia,126.0,2.0,0.0,12.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Europea del Atlántico,163.0,92.0,30.0,8.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Europea Miguel de Cervantes,191.0,107.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Fernando Pessoa-Canarias (UFP-C),0.0,0.0,0.0,11.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Francisco de Vitoria,669.0,0.0,0.0,19.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
IE Universidad,49.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Internacional de Catalunya,42.0,14.0,0.0,40.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Loyola Andalucía,48.0,9.0,0.0,11.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Mondragón Unibertsitatea,55.0,244.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Navarra,85.0,96.0,109.0,16.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Ramón Llull,824.0,229.0,2.0,46.0,28.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
San Pablo-CEU,97.0,6.0,24.0,91.0,3.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Vic-Central de Catalunya,38.0,5.0,1.0,23.0,4.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
A Distancia de Madrid,629.0,22.0,5.0,17.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Internacional de La Rioja,4604.0,908.0,241.0,118.0,39.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Internacional Isabel I de Castilla,81.0,12.0,0.0,3.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Internacional Valenciana,1751.0,75.0,209.0,156.0,46.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
Oberta de Catalunya,588.0,141.0,46.0,68.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,master
A Coruña,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Alcalá,218.0,89.0,53.0,89.0,51.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Alicante,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Almería,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Autónoma de Barcelona,0.0,0.0,0.0,11.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Autónoma de Madrid,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Barcelona,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Burgos,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Cádiz,21.0,12.0,17.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Cantabria,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Carlos III de Madrid,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Castilla-La Mancha,0.0,0.0,0.0,0.0,2.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Complutense de Madrid,3.0,0.0,5.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Córdoba,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Extremadura,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Girona,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Granada,819.0,306.0,227.0,201.0,234.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Huelva,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Illes Balears (Les),0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Jaén,283.0,61.0,65.0,39.0,27.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Jaume I de Castellón,10.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
La Laguna,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
La Rioja,77.0,24.0,7.0,0.0,9.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Las Palmas de Gran Canaria,4.0,12.0,0.0,4.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
León,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Lleida,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Málaga,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Miguel Hernández de Elche,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Murcia,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Oviedo,37.0,94.0,25.0,28.0,23.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Pablo de Olavide,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
País Vasco/Euskal Herriko Unibertsitatea,5.0,35.0,0.0,0.0,16.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Politécnica de Cartagena,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Politécnica de Catalunya,0.0,10.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Politécnica de Madrid,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Politècnica de València,0.0,15.0,0.0,0.0,52.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Pompeu Fabra,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Pública de Navarra,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Rey Juan Carlos,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Rovira i Virgili,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Salamanca,2.0,0.0,3.0,16.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Santiago de Compostela,4.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
València (Estudi General),341.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Vigo,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Zaragoza,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Internacional Menéndez Pelayo,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Abat Oliba CEU,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Alfonso X El Sabio,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Antonio de Nebrija,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Atlántico Medio,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Camilo José Cela,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Cardenal Herrera-CEU,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Católica de Valencia San Vicente Mártir,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Católica San Antonio,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Católica Santa Teresa de Jesús de Ávila,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Deusto,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Europea de Canarias,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Europea de Madrid,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Europea de Valencia,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Europea del Atlántico,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Europea Miguel de Cervantes,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Fernando Pessoa-Canarias (UFP-C),0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
Francisco de Vitoria,0.0,0.0,0.0,0.0,0.0,2019-2020,Otras unidades,Hombres,Tiempo Completo,master
