Universidad,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,Curso,Tipo_centro,Sexo,Dedicacion,Nivel
Girona,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Granada,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Huelva,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Illes Balears (Les),0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Jaén,70.0,29.0,86.0,41.0,106.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Jaume I de Castellón,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
La Laguna,123.0,81.0,86.0,160.0,138.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
La Rioja,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Las Palmas de Gran Canaria,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
León,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Lleida,91.0,104.0,29.0,79.0,1.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Málaga,215.0,249.0,138.0,201.0,143.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Miguel Hernández de Elche,43.0,112.0,0.0,121.0,56.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Murcia,360.0,72.0,183.0,350.0,130.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Oviedo,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Pablo de Olavide,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
País Vasco/Euskal Herriko Unibertsitatea,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Politécnica de Cartagena,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Politécnica de Catalunya,37.0,1020.0,0.0,0.0,169.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Politécnica de Madrid,55.0,1384.0,0.0,0.0,26.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Politècnica de València,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Pompeu Fabra,223.0,109.0,117.0,185.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Pública de Navarra,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Rey Juan Carlos,227.0,178.0,52.0,126.0,36.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Rovira i Virgili,142.0,152.0,148.0,83.0,122.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Salamanca,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Santiago de Compostela,327.0,148.0,269.0,314.0,262.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
València (Estudi General),0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Vigo,219.0,199.0,65.0,11.0,185.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Zaragoza,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Internacional Menéndez Pelayo,40.0,0.0,0.0,0.0,21.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Abat Oliba CEU,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Alfonso X El Sabio,0.0,0.0,0.0,11.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Antonio de Nebrija,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Camilo José Cela,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Cardenal Herrera-CEU,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Católica de Valencia San Vicente Mártir,11.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Católica San Antonio,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Deusto,91.0,44.0,0.0,7.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Europea de Madrid,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Europea Miguel de Cervantes,0.0,0.0,0.0,3.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Francisco de Vitoria,0.0,0.0,19.0,37.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
IE Universidad,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Internacional de Catalunya,40.0,19.0,0.0,81.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Loyola Andalucía,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Mondragón Unibertsitatea,26.0,101.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Navarra,105.0,91.0,114.0,167.0,26.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Pontificia Comillas,21.0,0.0,20.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Pontificia de Salamanca,31.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Ramón Llull,93.0,66.0,6.0,0.0,14.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
San Jorge,0.0,0.0,0.0,25.0,7.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
San Pablo-CEU,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Vic-Central de Catalunya,35.0,2.0,17.0,33.0,25.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Internacional de La Rioja,0.0,0.0,0.0,0.0,0.0,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
Notas:,,,,,,2019-2020,Centro propio,Hombres,Tiempo Completo,doctorado
A Coruña,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Alcalá,37.0,30.0,96.0,133.0,39.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Alicante,27.0,19.0,0.0,0.0,69.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Almería,168.0,37.0,5.0,92.0,65.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Autónoma de Barcelona,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Autónoma de Madrid,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Barcelona,264.0,11.0,339.0,686.0,202.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Burgos,72.0,10.0,39.0,27.0,10.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Cádiz,45.0,17.0,68.0,69.0,123.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Cantabria,21.0,45.0,30.0,64.0,10.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Carlos III de Madrid,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Castilla-La Mancha,48.0,0.0,0.0,31.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Complutense de Madrid,24.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Córdoba,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Extremadura,77.0,22.0,34.0,79.0,45.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Girona,99.0,54.0,56.0,38.0,89.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Granada,265.0,44.0,195.0,340.0,122.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Huelva,57.0,0.0,40.0,20.0,31.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Illes Balears (Les),107.0,6.0,33.0,101.0,43.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Jaén,44.0,12.0,44.0,41.0,40.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Jaume I de Castellón,58.0,23.0,42.0,68.0,24.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
La Laguna,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
La Rioja,13.0,6.0,24.0,17.0,8.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Las Palmas de Gran Canaria,23.0,20.0,57.0,31.0,16.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
León,28.0,27.0,22.0,86.0,22.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Lleida,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Málaga,33.0,1.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Miguel Hernández de Elche,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Murcia,209.0,4.0,134.0,370.0,64.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Oviedo,135.0,67.0,159.0,150.0,93.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Pablo de Olavide,178.0,0.0,56.0,19.0,57.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
País Vasco/Euskal Herriko Unibertsitatea,337.0,118.0,187.0,211.0,207.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Politécnica de Cartagena,6.0,35.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Politécnica de Catalunya,0.0,31.0,0.0,0.0,22.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Politécnica de Madrid,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Politècnica de València,50.0,217.0,156.0,0.0,134.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Pompeu Fabra,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Pública de Navarra,10.0,27.0,22.0,42.0,12.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Rey Juan Carlos,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Rovira i Virgili,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Salamanca,45.0,0.0,7.0,104.0,42.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Santiago de Compostela,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
València (Estudi General),87.0,0.0,0.0,0.0,15.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Vigo,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Zaragoza,203.0,111.0,137.0,225.0,108.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Internacional Menéndez Pelayo,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
